CONTENEDOR_COMUNAL;COD_REGION;REGION;PROVINCIA;CUT;COMUNA;AREA_C;COD_LOCALIDAD;LOCALIDAD;COD_ENTIDAD;ENTIDAD;COD_CATEGORIA;CATEGORIA;ID_ENTIDAD;ID_LOCALIDAD;n_per;n_hombres;n_mujeres;n_edad_0_5;n_edad_6_13;n_edad_14_17;n_edad_18_24;n_edad_25_44;n_edad_45_59;n_edad_60_mas;prom_edad;n_inmigrantes;n_nacionalidad;n_pueblos_orig;n_afrodescendencia;n_lengua_indigena;n_religion;n_dificultad_ver;n_dificultad_oir;n_dificultad_mover;n_dificultad_cogni;n_dificultad_cuidado;n_dificultad_comunic;n_discapacidad;n_estcivcon_casado;n_estcivcon_conviviente;n_estcivcon_conv_civil;n_estcivcon_anul_sep_div;n_estcivcon_viudo;n_estcivcon_soltero;prom_escolaridad18;n_asistencia_parv;n_asistencia_basica;n_asistencia_media;n_asistencia_superior;n_cine_nunca_curso_primera_infancia;n_cine_primaria;n_cine_secundaria;n_cine_terciaria_maestria_doctorado;n_cine_especial_diferencial;n_analfabet;n_ocupado;n_desocupado;n_fuera_fuerza_trabajo;n_cise_rec_independientes;n_cise_rec_dependientes;n_cise_rec_trabajador_no_remunerado;n_ciuo_1;n_ciuo_2;n_ciuo_3;n_ciuo_4;n_ciuo_5;n_ciuo_6;n_ciuo_7;n_ciuo_8;n_ciuo_9;n_ciuo_0;n_caenes_A;n_caenes_B;n_caenes_C;n_caenes_D;n_caenes_E;n_caenes_F;n_caenes_G;n_caenes_H;n_caenes_I;n_caenes_J;n_caenes_K;n_caenes_L;n_caenes_M;n_caenes_N;n_caenes_O;n_caenes_P;n_caenes_Q;n_caenes_R;n_caenes_S;n_caenes_T;n_caenes_U;n_transporte_auto;n_transporte_publico;n_transporte_camina;n_transporte_bicicleta;n_transporte_motocicleta;n_transporte_cab_lan_bote;n_transporte_otros;n_hog;prom_per_hog;n_hog_unipersonales;n_hog_60;n_hog_menores;n_jefatura_mujer;n_tenencia_propia_pagada;n_tenencia_propia_pagandose;n_tenencia_arrendada_contrato;n_tenencia_arrendada_sin_contrato;n_tenencia_cedida_trabajo;n_tenencia_cedida_familiar;n_tenencia_otro;n_comb_cocina_gas;n_comb_cocina_parafina;n_comb_cocina_lena;n_comb_cocina_pellet;n_comb_cocina_carbon;n_comb_cocina_electricidad;n_comb_cocina_solar;n_comb_cocina_no_utiliza;n_comb_calefaccion_gas;n_comb_calefaccion_parafina;n_comb_calefaccion_lena;n_comb_calefaccion_pellet;n_comb_calefaccion_carbon;n_comb_calefaccion_electricidad;n_comb_calefaccion_otra;n_comb_calefaccion_no_utiliza;n_serv_tel_movil;n_serv_compu;n_serv_tablet;n_serv_internet_fija;n_serv_internet_movil;n_serv_internet_satelital;n_internet;n_vp;n_vp_ocupada;n_vp_desocupada;n_tipo_viv_casa;n_tipo_viv_depto;n_tipo_viv_indigena;n_tipo_viv_pieza;n_tipo_viv_mediagua;n_tipo_viv_movil;n_tipo_viv_otro;n_dormitorios_1;n_dormitorios_2;n_dormitorios_3;n_dormitorios_4;n_dormitorios_5;n_dormitorios_6_o_mas;n_viv_hacinadas;n_viv_irrecuperables;n_hog_allegados;n_nucleos_hacinados_allegados;n_viv_no_ampliables;n_deficit_cuantitativo;n_mat_paredes_hormigon;n_mat_paredes_albanileria;n_mat_paredes_tabique_forrado;n_mat_paredes_tabique_sin_forro;n_mat_paredes_artesanal;n_mat_paredes_precarios;n_mat_techo_tejas;n_mat_techo_hormigon;n_mat_techo_zinc;n_mat_techo_fibrocemento;n_mat_techo_fonolita;n_mat_techo_paja;n_mat_techo_precarios;n_mat_techo_sin_cubierta;n_mat_piso_radier_con_revestimiento;n_mat_piso_radier_sin_revestimiento;n_mat_piso_baldosa_cemento;n_mat_piso_capa_cemento;n_mat_piso_tierra;n_fuente_agua_publica;n_fuente_agua_pozo;n_fuente_agua_camion;n_fuente_agua_rio;n_distrib_agua_llave;n_distrib_agua_llave_fuera;n_distrib_agua_acarreo;n_serv_hig_alc_dentro;n_serv_hig_alc_fuera;n_serv_hig_fosa;n_serv_hig_pozo;n_serv_hig_acequia_canal;n_serv_hig_cajon_otro;n_serv_hig_bano_quimico;n_serv_hig_bano_seco;n_serv_hig_no_tiene;n_fuente_elect_publica;n_fuente_elect_diesel;n_fuente_elect_solar;n_fuente_elect_eolica;n_fuente_elect_otro;n_fuente_elect_no_tiene;n_basura_servicios;n_basura_entierra;n_basura_eriazo;n_basura_rio;n_basura_otro
0;1;TARAPACÁ;IQUIQUE;1101;IQUIQUE;1;9;IQUIQUE - ALTO HOSPICIO;1;IQUIQUE;1;Ciudad;110100900101;11011009;189761;92884;96877;11714;21214;10629;16892;63361;32908;33043;36,6;37566;35297;31399;1892;7071;116165;6504;3052;6905;3896;2536;1851;15411;43600;29085;1868;9342;6385;63132;13;6182;20111;9263;6827;13636;58405;65381;50083;835;1115;90891;7462;54602;31578;58025;1240;5146;17649;10664;6975;19722;339;9265;7398;9542;1148;635;8249;3835;528;521;4607;17337;6648;6220;844;1103;1607;2890;3000;6943;8391;7615;946;2946;1284;22;24530;24311;10026;1242;426;14;5809;66515;2,8;15608;8021;23729;30542;19723;8643;18441;11279;1633;4772;2017;60942;26;20;3;10;3500;7;2004;10809;100;9;5;5;4909;148;50518;65491;39378;19677;52157;59694;2983;64243;70669;65252;5417;38263;26480;25;4907;425;13;556;18783;18994;17098;5041;1588;1001;5244;1216;3293;1285;3000;8794;24372;26961;9563;2100;61;154;12331;22195;17011;10920;455;18;177;50;59890;854;1510;821;129;63108;44;40;14;58746;4423;39;58443;4125;345;249;6;3;4;2;36;62998;72;45;3;39;51;62890;49;83;10;181
0;1;TARAPACÁ;IQUIQUE;1107;ALTO HOSPICIO;1;1;IQUIQUE - ALTO HOSPICIO;1;ALTO HOSPICIO;1;Ciudad;110700100101;11071001;134762;65987;68775;12144;20276;9688;15822;44004;20483;12345;30,4;34070;32832;39447;2943;13879;75653;6358;1967;4984;3449;1569;1348;13053;22246;25966;1350;4645;2457;42879;11,5;6219;19234;8152;5388;14108;55832;49544;13654;858;1299;57242;5991;36068;23700;32646;881;914;3946;5255;3114;13861;315;10066;7230;10379;207;450;5775;3213;495;664;5503;12924;5279;3132;383;256;517;758;2795;2147;4222;3017;339;1770;837;2;16983;22604;4076;228;120;5;3981;40445;3,3;5936;2571;20633;20892;19619;3295;5654;3750;275;2442;5403;39275;18;182;1;5;447;4;510;8172;197;132;3;24;3268;117;28525;39829;17954;8296;25030;35098;2332;38571;44432;41741;2691;34532;8515;7;188;1036;22;132;8429;14480;11532;2997;868;389;4961;2584;1611;1383;950;6528;9233;16849;6132;6168;60;384;4958;11053;17848;4455;187;7;241;79;28022;2717;2603;4152;1324;30564;55;8196;18;32742;2201;3886;29170;862;4776;3815;17;14;20;23;137;37214;243;468;6;628;270;37270;178;656;7;718
0;1;TARAPACÁ;IQUIQUE;1107;ALTO HOSPICIO;1;2;ALTO MOLLE;2;LA MULA;2;Pueblo;110700200202;11071002;2073;1047;1026;294;312;132;267;738;244;86;26;1442;1390;419;69;276;1068;45;22;31;27;12;10;102;255;524;22;44;17;567;10,5;122;285;89;42;349;936;681;77;9;26;862;120;443;439;414;9;8;7;25;23;217;3;202;84;273;0;7;42;42;4;9;176;211;79;91;1;2;10;2;50;6;9;9;6;40;35;0;256;482;41;4;0;0;24;663;3,1;144;25;340;287;216;10;0;3;4;11;417;625;2;27;0;1;1;0;6;25;3;12;0;1;2;1;618;652;83;64;51;603;1;615;920;845;75;868;0;0;0;49;0;3;316;221;84;14;3;1;201;209;11;46;1;267;1;6;197;370;13;64;26;0;543;34;8;1;28;11;82;156;88;167;158;1;4;646;0;95;58;498;10;1;405;193;3;0;13;7;19;123;48;342;0;22;116;481;92;18;0;60
0;1;TARAPACÁ;DEL TAMARUGAL;1401;POZO ALMONTE;1;12;LA TIRANA;2;LA TIRANA;2;Pueblo;140101200202;14011012;1709;912;797;83;171;71;122;350;294;618;45,2;215;197;560;45;213;1289;138;66;166;61;42;16;311;423;279;23;96;108;504;10,4;41;158;55;20;104;876;520;183;5;32;631;86;709;315;282;34;12;44;33;19;150;25;169;74;92;0;25;61;42;5;12;126;108;29;24;6;0;1;6;15;54;33;28;2;21;13;0;157;141;93;17;0;0;19;688;2,5;223;288;157;296;405;12;16;39;45;120;51;655;0;18;0;0;5;0;10;73;1;20;0;0;30;5;559;670;170;94;119;569;45;584;4273;692;3581;4160;1;3;23;68;0;18;281;176;107;53;27;17;59;75;18;18;5;116;33;315;179;112;14;17;96;23;481;36;6;3;20;4;335;145;65;77;48;422;102;144;2;530;52;88;205;12;298;151;0;2;0;1;1;588;8;49;0;7;18;578;21;44;0;27
0;1;TARAPACÁ;DEL TAMARUGAL;1401;POZO ALMONTE;1;21;POZO ALMONTE;1;POZO ALMONTE;1;Ciudad;140102100101;14011021;10395;5072;5323;972;1577;770;1185;3346;1467;1078;30,6;2250;2137;5148;145;1880;6027;476;142;259;181;91;78;862;1776;1799;125;334;218;3357;11,4;526;1496;684;365;1117;4194;3998;996;34;103;4404;342;2851;1298;3011;95;108;240;359;308;958;40;630;892;657;9;50;997;176;21;44;296;581;297;364;16;6;8;51;182;340;291;148;29;112;44;0;1006;855;1006;96;3;1;671;3236;3,2;662;318;1575;1622;1598;76;403;596;72;214;277;3107;6;17;0;0;28;0;78;445;9;10;0;2;275;10;2485;3180;1457;705;1729;2832;147;3077;3373;3108;265;3314;0;0;40;9;0;10;792;1039;782;300;69;50;399;73;173;103;117;466;166;1942;651;282;14;8;238;82;2376;337;17;1;6;6;2330;219;281;188;44;2709;11;339;2;2678;197;188;2500;116;321;112;1;3;3;0;7;2802;41;178;0;12;29;3021;10;21;1;10
0;1;TARAPACÁ;DEL TAMARUGAL;1404;HUARA;1;12;HUARA;1;HUARA;2;Pueblo;140401200102;14041012;1272;638;634;108;168;88;120;396;196;196;33,9;226;176;715;16;280;829;50;28;67;36;25;26;123;288;161;6;54;36;424;11,4;62;152;77;52;127;520;444;165;2;16;574;27;365;233;330;11;23;62;59;42;88;11;59;103;113;0;9;91;18;1;7;43;48;28;66;4;0;0;4;24;94;56;41;3;5;4;0;89;101;164;25;2;0;31;435;2,9;99;66;170;233;242;2;39;75;17;49;10;418;0;5;0;0;4;0;8;84;0;2;0;0;43;4;302;423;197;93;76;388;18;396;614;480;134;610;0;0;2;2;0;0;109;141;117;37;8;4;41;6;19;5;19;49;13;102;253;37;10;1;57;8;329;20;1;0;1;0;340;13;20;38;5;386;1;24;5;374;22;20;357;12;19;24;0;0;1;1;2;393;1;7;0;1;14;414;1;0;0;1
0;1;TARAPACÁ;DEL TAMARUGAL;1405;PICA;1;10;PICA;1;PICA;2;Pueblo;140501000102;14051010;3565;1725;1840;260;495;233;323;1020;527;707;36;816;641;2136;49;747;2330;165;64;151;87;46;49;348;719;574;64;149;148;1100;11,7;165;482;204;74;296;1435;1256;546;21;42;1608;94;1051;745;817;46;64;183;143;78;379;95;218;151;251;1;119;150;53;10;7;152;213;66;155;4;3;4;17;49;171;233;70;17;24;16;0;310;235;348;33;1;0;58;1213;2,9;259;245;493;639;552;29;217;218;34;146;17;1194;0;3;0;0;7;1;8;162;0;1;0;0;38;7;1005;1184;542;348;453;1032;70;1104;1554;1242;312;1550;0;0;1;1;0;2;226;380;330;101;32;28;98;9;112;23;36;180;92;579;275;68;87;0;186;34;752;109;5;12;2;1;884;78;117;16;6;1007;50;44;0;1032;35;34;959;24;114;2;1;0;0;0;1;1059;5;33;0;2;2;1092;2;0;0;7
0;2;ANTOFAGASTA;ANTOFAGASTA;2101;ANTOFAGASTA;1;1;ANTOFAGASTA;1;ANTOFAGASTA;1;Ciudad;210100100101;21011001;387247;189751;197496;24104;43326;23010;40196;130789;69269;56553;35,3;71277;69033;30743;5334;6637;222492;13060;5880;12098;7600;4846;3596;29731;86523;60897;3815;17013;12471;132022;12,7;11345;40646;19301;17730;28571;123227;137662;93241;1960;2720;181752;15439;114645;62106;117517;2054;9952;32657;21176;11927;32233;631;25562;19007;19332;775;648;28050;10795;2090;1674;12857;25192;15428;9318;1918;1762;1355;5860;8702;6060;13463;13207;1842;5709;2292;31;32278;55371;10163;932;1160;11;21587;129408;3;25227;12957;48754;61316;43367;20541;29893;14325;1634;9863;9764;118100;69;116;7;17;10054;13;1015;27241;368;59;8;23;16285;324;85068;127959;79882;41780;102958;118514;5502;126279;134741;127313;7428;92737;39625;19;602;1034;18;706;27589;39978;37271;11471;3341;2213;8088;2669;7069;2468;2584;14790;47921;59145;9887;4695;201;460;31154;42831;38565;8937;407;8;287;88;113362;3765;2637;1800;738;120035;216;2019;43;116982;4286;1030;116254;1848;2925;1047;26;28;31;15;136;120840;266;138;10;776;272;119358;229;1571;17;1143
0;2;ANTOFAGASTA;ANTOFAGASTA;2101;ANTOFAGASTA;1;6;CERRO MORENO;2;CERRO MORENO;2;Pueblo;210100600202;21011006;1231;716;515;135;151;43;193;614;85;10;25,4;13;3;103;10;20;706;6;3;2;13;4;2;23;439;17;127;31;3;319;14,3;51;143;39;29;157;191;176;702;1;1;711;13;210;240;462;6;8;53;68;78;34;1;182;8;8;210;0;10;23;2;0;4;15;17;5;3;4;0;7;2;523;35;26;1;4;1;0;152;12;92;156;9;0;15;293;3,2;5;0;187;54;2;1;273;4;8;0;5;286;0;0;0;0;5;0;2;27;12;0;0;0;120;0;134;293;259;144;269;289;5;293;305;299;6;285;0;0;0;0;0;20;62;95;124;12;0;0;15;20;0;0;12;32;50;243;0;0;0;0;73;16;33;167;2;2;0;0;293;0;0;0;0;292;0;0;1;278;15;0;288;3;1;0;1;0;0;0;0;292;0;0;0;1;0;292;0;0;0;1
0;2;ANTOFAGASTA;ANTOFAGASTA;2102;MEJILLONES;1;9;MEJILLONES;1;MEJILLONES;1;Ciudad;210200900101;21021009;13104;6477;6627;1034;1864;818;1401;4339;2018;1630;32,4;3939;3893;1323;329;372;7953;853;244;473;270;152;146;1417;2291;2362;161;506;337;4289;11,5;460;1747;704;400;1218;5256;4954;1554;69;98;6125;453;3356;1788;4250;87;155;405;561;445;1107;98;1013;888;1081;12;183;331;554;206;56;475;566;1075;578;16;15;13;81;530;245;319;215;32;131;51;0;923;638;1240;173;21;4;1376;4335;3;848;458;1961;2147;2091;293;474;854;99;264;260;4213;4;2;1;0;81;1;33;829;4;1;0;0;416;10;3075;4277;2041;1090;2831;3884;402;4193;4874;4699;175;3306;1422;3;29;52;2;60;785;1353;1325;309;100;76;339;114;369;108;91;682;1416;1624;498;412;4;12;559;1042;1608;567;170;0;13;5;3479;176;134;160;16;3909;5;49;1;3806;137;23;3454;48;290;164;2;0;2;0;4;3914;27;8;1;5;11;3487;5;12;0;462
