FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
220101;0100;47;;;
220101;0200;62;;;
220101;0300;59;;;
220101;0400;63;;;
220101;0500;59;;;
220101;0600;50;;;
220101;0700;60;;;
220101;0800;48;;;
220101;0900;57;;;
220101;1000;49;;;
220101;1100;43;;;
220101;1200;41;;;
220101;1300;44;;;
220101;1400;30;;;
220101;1500;23;;;
220101;1600;43;;;
220101;1700;43;;;
220101;1800;40;;;
220101;1900;39;;;
220101;2000;41;;;
220101;2100;30;;;
220101;2200;30;;;
220101;2300;24;;;
220102;0000;22;;;
220102;0100;18;;;
220102;0200;22;;;
220102;0300;24;;;
220102;0400;23;;;
220102;0500;19;;;
220102;0600;29;;;
220102;0700;28;;;
220102;0800;33;;;
220102;0900;39;;;
220102;1000;34;;;
220102;1100;32;;;
220102;1200;37;;;
220102;1300;32;;;
220102;1400;25;;;
220102;1500;12;;;
220102;1600;20;;;
220102;1700;27;;;
220102;1800;36;;;
220102;1900;51;;;
220102;2000;39;;;
220102;2100;37;;;
220102;2200;28;;;
220102;2300;27;;;
220103;0000;31;;;
220103;0100;32;;;
220103;0200;27;;;
220103;0300;31;;;
220103;0400;25;;;
220103;0500;42;;;
220103;0600;76;;;
220103;0700;41;;;
220103;0800;51;;;
220103;0900;62;;;
220103;1000;71;;;
220103;1100;41;;;
220103;1200;45;;;
220103;1300;41;;;
220103;1400;32;;;
220103;1500;38;;;
220103;1600;49;;;
220103;1700;85;;;
220103;1800;77;;;
220103;1900;42;;;
220103;2000;31;;;
220103;2100;31;;;
220103;2200;30;;;
220103;2300;32;;;
220104;0000;31;;;
220104;0100;30;;;
220104;0200;27;;;
220104;0300;31;;;
220104;0400;50;;;
220104;0500;121;;;
220104;0600;72;;;
220104;0700;53;;;
220104;0800;46;;;
220104;0900;53;;;
220104;1000;62;;;
220104;1100;79;;;
220104;1200;73;;;
220104;1300;73;;;
220104;1400;59;;;
220104;1500;49;;;
220104;1600;71;;;
220104;1700;72;;;
220104;1800;64;;;
220104;1900;51;;;
220104;2000;53;;;
220104;2100;42;;;
220104;2200;34;;;
220104;2300;33;;;
220105;0000;31;;;
220105;0100;29;;;
220105;0200;51;;;
220105;0300;46;;;
220105;0400;33;;;
220105;0500;43;;;
220105;0600;78;;;
220105;0700;91;;;
220105;0800;65;;;
220105;0900;55;;;
220105;1000;74;;;
220105;1100;82;;;
220105;1200;76;;;
220105;1300;76;;;
220105;1400;78;;;
220105;1500;102;;;
220105;1600;122;;;
220105;1700;125;;;
220105;1800;89;;;
220105;1900;66;;;
220105;2000;67;;;
220105;2100;55;;;
220105;2200;43;;;
220105;2300;36;;;
220106;0000;39;;;
220106;0100;51;;;
220106;0200;50;;;
220106;0300;46;;;
220106;0400;39;;;
220106;0500;71;;;
220106;0600;90;;;
220106;0700;72;;;
220106;0800;71;;;
220106;0900;84;;;
220106;1000;99;;;
220106;1100;88;;;
220106;1200;88;;;
220106;1300;85;;;
220106;1400;82;;;
220106;1500;103;;;
220106;1600;130;;;
220106;1700;96;;;
220106;1800;98;;;
220106;1900;67;;;
220106;2000;59;;;
220106;2100;53;;;
220106;2200;48;;;
220106;2300;54;;;
220107;0000;53;;;
220107;0100;41;;;
220107;0200;41;;;
220107;0300;77;;;
220107;0400;54;;;
220107;0500;64;;;
220107;0600;68;;;
220107;0700;63;;;
220107;0800;76;;;
220107;0900;90;;;
220107;1000;115;;;
220107;1100;99;;;
220107;1200;85;;;
220107;1300;89;;;
220107;1400;74;;;
220107;1500;76;;;
220107;1600;88;;;
220107;1700;78;;;
220107;1800;68;;;
220107;1900;61;;;
220107;2000;64;;;
220107;2100;57;;;
220107;2200;44;;;
220107;2300;39;;;
220108;0000;55;;;
220108;0100;49;;;
220108;0200;71;;;
220108;0300;56;;;
220108;0400;50;;;
220108;0500;50;;;
220108;0600;96;;;
220108;0700;79;;;
220108;0800;70;;;
220108;0900;73;;;
220108;1000;79;;;
220108;1100;67;;;
220108;1200;83;;;
220108;1300;100;;;
220108;1400;99;;;
220108;1500;79;;;
220108;1600;53;;;
220108;1700;45;;;
220108;1800;49;;;
220108;1900;56;;;
220108;2000;46;;;
220108;2100;38;;;
220108;2200;37;;;
220108;2300;24;;;
220109;0000;20;;;
220109;0100;22;;;
220109;0200;23;;;
220109;0300;31;;;
220109;0400;32;;;
220109;0500;39;;;
220109;0600;30;;;
220109;0700;27;;;
220109;0800;29;;;
220109;0900;33;;;
220109;1000;38;;;
220109;1100;41;;;
220109;1200;38;;;
220109;1300;36;;;
220109;1400;34;;;
220109;1500;37;;;
220109;1600;41;;;
220109;1700;47;;;
220109;1800;50;;;
220109;1900;46;;;
220109;2000;43;;;
220109;2100;34;;;
220109;2200;33;;;
220109;2300;27;;;
220110;0000;30;;;
220110;0100;30;;;
220110;0200;20;;;
220110;0300;23;;;
220110;0400;30;;;
220110;0500;34;;;
220110;0600;61;;;
220110;0700;41;;;
220110;0800;68;;;
220110;0900;74;;;
220110;1000;74;;;
220110;1100;48;;;
220110;1200;57;;;
220110;1300;60;;;
220110;1400;58;;;
220110;1500;53;;;
220110;1600;73;;;
220110;1700;78;;;
220110;1800;81;;;
220110;1900;50;;;
220110;2000;41;;;
220110;2100;37;;;
220110;2200;31;;;
220110;2300;59;;;
220111;0000;28;;;
220111;0100;29;;;
220111;0200;31;;;
220111;0300;35;;;
220111;0400;45;;;
220111;0500;49;;;
220111;0600;87;;;
220111;0700;61;;;
220111;0800;79;;;
220111;0900;68;;;
220111;1000;59;;;
220111;1100;71;;;
220111;1200;75;;;
220111;1300;70;;;
220111;1400;58;;;
220111;1500;69;;;
220111;1600;78;;;
220111;1700;71;;;
220111;1800;59;;;
220111;1900;56;;;
220111;2000;52;;;
220111;2100;51;;;
220111;2200;48;;;
220111;2300;39;;;
220112;0000;37;;;
220112;0100;43;;;
220112;0200;32;;;
220112;0300;31;;;
220112;0400;27;;;
220112;0500;35;;;
220112;0600;29;;;
220112;0700;45;;;
220112;0800;58;;;
220112;0900;87;;;
220112;1000;95;;;
220112;1100;94;;;
220112;1200;90;;;
220112;1300;87;;;
220112;1400;86;;;
220112;1500;81;;;
220112;1600;97;;;
220112;1700;87;;;
220112;1800;65;;;
220112;1900;54;;;
220112;2000;49;;;
220112;2100;64;;;
220112;2200;56;;;
220112;2300;46;;;
220113;0000;40;;;
220113;0100;37;;;
220113;0200;34;;;
220113;0300;29;;;
220113;0400;33;;;
220113;0500;40;;;
220113;0600;34;;;
220113;0700;44;;;
220113;0800;60;;;
220113;0900;66;;;
220113;1000;75;;;
220113;1100;81;;;
220113;1200;75;;;
220113;1300;59;;;
220113;1400;88;;;
220113;1500;85;;;
220113;1600;82;;;
220113;1700;70;;;
220113;1800;63;;;
220113;1900;64;;;
220113;2000;50;;;
220113;2100;47;;;
220113;2200;57;;;
220113;2300;46;;;
220114;0000;50;;;
220114;0100;37;;;
220114;0200;32;;;
220114;0300;30;;;
220114;0400;30;;;
220114;0500;30;;;
220114;0600;40;;;
220114;0700;69;;;
220114;0800;69;;;
220114;0900;65;;;
220114;1000;78;;;
220114;1100;73;;;
220114;1200;76;;;
220114;1300;87;;;
220114;1400;84;;;
220114;1500;79;;;
220114;1600;98;;;
220114;1700;95;;;
220114;1800;88;;;
220114;1900;75;;;
