edad,ypchtotcor,educc,pobreza
72,336965.0,1,3.0
67,336965.0,1,3.0
40,336965.0,6,3.0
25,104548.0,4,1.0
60,104548.0,3,1.0
84,183333.0,1,2.0
67,183333.0,2,2.0
30,183333.0,4,2.0
64,467968.0,1,3.0
62,467968.0,1,3.0
59,280000.0,1,1.0
34,280000.0,4,3.0
30,280000.0,4,3.0
73,276778.0,2,3.0
67,276778.0,3,3.0
68,268926.0,1,3.0
64,268926.0,1,3.0
68,505917.0,3,3.0
56,730000.0,2,3.0
78,398861.0,2,3.0
79,398861.0,1,3.0
68,477973.0,1,3.0
73,477973.0,1,3.0
75,443917.0,3,2.0
54,192579.0,2,2.0
19,192579.0,5,2.0
62,192579.0,1,2.0
27,181597.0,3,2.0
35,181597.0,2,2.0
60,325000.0,1,3.0
62,325000.0,1,3.0
53,186682.0,2,2.0
63,186682.0,3,2.0
63,320000.0,1,3.0
29,320000.0,4,3.0
66,320000.0,2,3.0
47,261387.0,4,3.0
53,261387.0,2,3.0
47,311154.0,1,3.0
49,311154.0,2,3.0
54,589100.0,4,3.0
28,589100.0,4,3.0
27,589100.0,6,3.0
19,589100.0,3,3.0
56,589100.0,4,3.0
81,481999.0,0,3.0
50,481999.0,4,3.0
59,207655.0,4,2.0
60,207655.0,4,2.0
52,714750.0,4,3.0
29,181959.0,4,2.0
35,103267.0,3,1.0
69,760361.0,4,3.0
39,409084.0,6,3.0
18,409084.0,4,3.0
39,409084.0,6,3.0
67,470620.0,3,3.0
41,470620.0,4,3.0
32,470620.0,6,3.0
45,465646.0,6,3.0
19,465646.0,4,3.0
48,465646.0,1,3.0
68,1141133.0,4,3.0
64,1141133.0,4,3.0
37,1141133.0,5,3.0
33,1141133.0,6,3.0
33,1141133.0,5,3.0
65,413125.0,6,3.0
63,413125.0,6,3.0
24,413125.0,6,3.0
23,413125.0,5,3.0
50,183795.0,6,2.0
28,183795.0,4,2.0
21,183795.0,5,2.0
47,1334765.0,6,3.0
22,1334765.0,4,3.0
47,1334765.0,3,3.0
67,0.0,4,1.0
54,230556.0,6,3.0
60,230556.0,5,3.0
31,230556.0,5,3.0
18,230556.0,5,3.0
43,473318.0,4,3.0
45,1120450.0,5,3.0
45,1120450.0,5,3.0
20,1120450.0,5,3.0
18,1120450.0,4,3.0
28,300000.0,6,3.0
26,300000.0,4,3.0
53,600000.0,1,3.0
51,400000.0,3,3.0
60,400000.0,3,3.0
42,147132.0,4,2.0
40,147132.0,4,2.0
72,500639.0,3,3.0
68,500639.0,4,3.0
68,500639.0,3,3.0
69,206312.0,0,2.0
84,206312.0,1,2.0
43,206312.0,0,2.0
58,459722.0,4,3.0
33,459722.0,6,3.0
19,459722.0,5,3.0
63,350000.0,4,3.0
28,350000.0,6,3.0
42,350000.0,6,3.0
45,350000.0,4,3.0
66,235714.0,4,3.0
62,235714.0,3,3.0
42,235714.0,6,3.0
31,235714.0,6,3.0
19,235714.0,5,3.0
68,278155.0,6,3.0
57,278155.0,4,3.0
35,278155.0,4,3.0
28,278155.0,6,3.0
26,278155.0,4,3.0
37,278155.0,6,3.0
58,562500.0,6,3.0
60,562500.0,4,3.0
29,562500.0,6,3.0
21,562500.0,5,3.0
55,410959.0,1,3.0
49,410959.0,2,3.0
91,363945.0,2,2.0
48,273898.0,1,3.0
46,273898.0,2,3.0
19,273898.0,5,3.0
51,201906.0,4,2.0
50,201906.0,2,2.0
70,269518.0,1,3.0
89,269518.0,1,3.0
41,269518.0,4,3.0
37,269518.0,4,3.0
64,2190000.0,4,3.0
60,2190000.0,4,3.0
35,2190000.0,6,3.0
25,180585.0,4,2.0
24,180585.0,4,2.0
34,205087.0,3,2.0
76,430000.0,1,3.0
37,180344.0,4,2.0
74,180344.0,1,2.0
70,180344.0,1,2.0
26,180344.0,2,2.0
29,180344.0,5,2.0
45,257500.0,1,3.0
32,257500.0,1,3.0
35,257500.0,4,3.0
36,257500.0,1,3.0
32,257500.0,1,3.0
83,1951181.0,1,3.0
38,1951181.0,5,3.0
60,135000.0,1,1.0
58,135000.0,1,1.0
48,121045.0,1,2.0
46,121045.0,1,2.0
25,121045.0,4,2.0
20,121045.0,4,2.0
61,197500.0,2,2.0
18,197500.0,4,2.0
50,306167.0,3,3.0
24,306167.0,4,3.0
55,306167.0,2,3.0
21,306167.0,5,3.0
63,520000.0,2,2.0
49,595556.0,1,3.0
49,595556.0,3,3.0
20,595556.0,3,3.0
75,957375.0,6,3.0
62,957375.0,5,3.0
62,760500.0,4,3.0
68,650000.0,6,3.0
47,738556.0,6,3.0
69,738556.0,6,3.0
42,738556.0,6,3.0
65,866667.0,6,3.0
63,866667.0,6,3.0
34,866667.0,6,3.0
62,559000.0,2,3.0
63,724000.0,4,3.0
64,724000.0,4,3.0
32,724000.0,6,3.0
28,724000.0,5,3.0
34,724000.0,6,3.0
21,405000.0,4,3.0
39,405000.0,5,3.0
50,2700000.0,6,3.0
63,1344333.0,6,3.0
53,1344333.0,6,3.0
19,1344333.0,5,3.0
58,1344333.0,5,3.0
59,458500.0,4,2.0
62,458500.0,5,2.0
26,583605.0,5,3.0
65,633917.0,3,3.0
44,421000.0,1,3.0
21,421000.0,4,3.0
68,510945.0,4,3.0
88,510945.0,1,3.0
64,510945.0,4,3.0
43,510945.0,6,3.0
74,739778.0,1,3.0
69,1850417.0,5,3.0
66,1850417.0,5,3.0
23,322989.0,3,3.0
40,207118.0,4,3.0
37,207118.0,6,3.0
79,548169.0,1,3.0
59,548169.0,1,3.0
36,198148.0,4,3.0
38,198148.0,4,3.0
25,218929.0,3,3.0
27,218929.0,6,3.0
52,700625.0,2,3.0
25,700625.0,4,3.0
22,700625.0,5,3.0
30,700625.0,4,3.0
42,287499.0,2,3.0
52,287499.0,1,3.0
20,287499.0,4,3.0
47,354475.0,1,3.0
48,354475.0,1,3.0
18,354475.0,3,3.0
34,409618.0,4,3.0
52,208755.0,2,3.0
31,208755.0,4,3.0
18,208755.0,2,3.0
47,305000.0,4,3.0
50,305000.0,6,3.0
22,305000.0,5,3.0
37,601750.0,6,3.0
31,601750.0,6,3.0
21,200000.0,3,2.0
31,180000.0,6,2.0
38,180000.0,6,2.0
30,146667.0,4,1.0
22,146667.0,4,1.0
52,587500.0,5,3.0
72,440353.0,2,3.0
70,440353.0,2,3.0
30,440353.0,4,3.0
25,735226.0,5,3.0
23,735226.0,5,3.0
30,735226.0,6,3.0
80,365000.0,2,3.0
28,527250.0,4,3.0
33,1103667.0,6,3.0
59,200000.0,1,1.0
49,499159.0,3,3.0
47,499159.0,4,3.0
23,499159.0,5,3.0
26,500000.0,5,3.0
27,500000.0,5,3.0
61,259024.0,3,3.0
68,259024.0,1,3.0
31,259024.0,5,3.0
25,259024.0,4,3.0
19,259024.0,5,3.0
45,340000.0,3,3.0
58,1421000.0,6,3.0
21,150000.0,4,2.0
23,150000.0,4,2.0
50,150000.0,3,2.0
27,150000.0,4,2.0
72,218062.0,5,2.0
59,218062.0,1,2.0
32,218062.0,6,2.0
31,313884.0,4,3.0
27,313884.0,5,3.0
35,216215.0,4,2.0
22,216215.0,5,2.0
29,502064.0,4,3.0
28,502064.0,3,3.0
65,220000.0,3,1.0
22,465899.0,6,3.0
24,465899.0,6,3.0
60,465899.0,4,3.0
61,465899.0,4,3.0
42,465899.0,6,3.0
44,465899.0,2,3.0
19,465899.0,5,3.0
19,465899.0,4,3.0
33,465899.0,5,3.0
31,465899.0,5,3.0
37,166222.0,3,2.0
31,166222.0,4,2.0
59,412208.0,4,3.0
43,412208.0,3,3.0
56,412208.0,4,3.0
83,412208.0,1,3.0
56,503750.0,6,3.0
42,2333333.0,4,3.0
42,2333333.0,4,3.0
31,2019445.0,6,3.0
28,2019445.0,6,3.0
27,2019445.0,6,3.0
76,281256.0,1,3.0
77,281256.0,1,3.0
60,281256.0,0,3.0
44,364043.0,2,3.0
48,364043.0,4,3.0
66,920000.0,3,3.0
48,119100.0,4,2.0
45,119100.0,4,2.0
23,119100.0,5,2.0
61,176959.0,2,1.0
57,176959.0,3,1.0
37,252375.0,4,2.0
39,252375.0,4,2.0
52,269618.0,1,3.0
56,269618.0,3,3.0
30,269618.0,4,3.0
52,415000.0,4,1.0
58,451722.0,2,3.0
56,451722.0,4,3.0
30,451722.0,4,3.0
56,391000.0,2,1.0
62,251389.0,2,2.0
63,251389.0,2,2.0
18,251389.0,4,2.0
78,449778.0,2,2.0
35,420000.0,6,3.0
39,144752.0,4,1.0
20,144752.0,5,1.0
81,400000.0,1,2.0
23,431875.0,4,3.0
18,431875.0,4,3.0
35,431875.0,4,3.0
51,431875.0,4,3.0
30,355000.0,3,3.0
39,355000.0,6,3.0
20,355000.0,5,3.0
